customer_unique_id,frequency,recency,T,monetary_value,Predictive_CLV_12M,Predictive_CLV_3M,Cluster
070acf4df1234a6257809e4e79644481,1.0,265.0,307.0,320.58,14.561563627270232,14.561563627270232,2
071bb277b0146da77fac31e70657815e,1.0,281.0,417.0,31.310000000000002,0.8087103428665718,0.8087103428665718,2
071fb07419a29c8ba143831082e0320a,1.0,300.0,531.0,61.800000000000004,0.8707375808299997,0.8707375808299997,2
07342638d0e0aad32c3cf0efc1a37ba5,1.0,40.0,376.0,232.06,0.7115485484814671,0.7115485484814671,2
0751ebe1c05ef7a632934adae06c6d4a,1.0,51.0,453.0,96.69,0.21352426060988405,0.21352426060988405,2
078f7e669cebf2fb640d0ad0dabb3068,1.0,77.0,189.0,37.849999999999994,1.0553146770789654,1.0553146770789654,2
07b1b60bca2b6326fa2adb259ea4a55f,2.0,44.0,156.0,81.24000000000001,15.944290097876436,15.944290097876436,2
07bd3d18ecba2420a8934b34a26f157a,1.0,2.0,134.0,97.95,1.5862012712445401,1.5862012712445401,2
07f765655f560c8624267665ce23675a,1.0,192.0,326.0,318.61,7.417824975620641,7.417824975620641,2
07ff81a9676efa0286ddd3f09e7c0063,1.0,115.0,194.0,248.27999999999997,9.276493856596058,9.276493856596058,2
0802a1a217680f13264a70ddb7220823,1.0,10.0,568.0,96.35,0.057096023446849116,0.057096023446849116,2
0807baeeeaa1309effbd9a9dee41ab17,1.0,41.0,154.0,252.8,5.949472048767536,5.949472048767536,2
083ca1aa470c280236380973a48f77c6,2.0,19.0,397.0,86.96000000000001,0.7605810847251465,0.7605810847251465,2
083ce299ea3fc1eba79bd0b17f64555b,1.0,213.0,219.0,67.17,4.725306849550041,4.725306849550041,2
084be429c23e342acf5084ac6156d22e,1.0,89.0,127.0,91.78,5.71890284405191,5.71890284405191,2
0895c61a77b305efdfad13596c749c60,1.0,131.0,271.0,762.14,15.988007747091707,15.988007747091707,2
089bc915af34d9041b3a88a1aa84292b,1.0,60.0,287.0,51.68,0.44487028635435943,0.44487028635435943,2
08b57f87bc889756ca453bf8106d48ce,1.0,49.0,116.0,67.58,2.996854347166635,2.996854347166635,2
08c07c761592a71b85136aa4fe76a6f4,2.0,238.0,383.0,148.98,26.77549448515974,26.77549448515974,2
08d8ad84b0088cbeae77da4ff3817479,1.0,31.0,135.0,50.7,1.3736210731259482,1.3736210731259482,2
08e5b38d7948d37fbb2a59fc5e175ab1,2.0,68.0,179.0,350.71500000000003,72.88097171284204,72.88097171284204,2
0942eedfe0e865b2a80419a14672286f,1.0,347.0,567.0,62.25,0.9550354786572501,0.9550354786572501,2
0981a271500799427cdf345e9121e20b,1.0,14.0,513.0,81.13999999999999,0.0702758069015626,0.0702758069015626,2
09831ff6ab667f42521bcd4c22dc755c,1.0,8.0,165.0,108.69,1.340447625669906,1.340447625669906,2
0994750c9c22a140010ed86aad2d044b,1.0,22.0,206.0,72.72999999999999,0.7410116764188035,0.7410116764188035,2
099fad9e8f7dfbd0412c300bcc697e0b,1.0,307.0,412.0,190.46,5.409763696101329,5.409763696101329,2
09baec50afccbb414f24bf8e0bc7c020,1.0,164.0,269.0,620.15,18.002450836648688,18.002450836648688,2
09bc7afc3e8d8dccaffd0b16944a91fe,1.0,175.0,568.0,497.89,2.1862550204578644,2.1862550204578644,2
09d74edf20acb4f9523fb1cf19a18456,1.0,109.0,286.0,133.9,2.0143236016113146,2.0143236016113146,2
0a609db8d244100909a15d65eadf8539,1.0,72.0,387.0,430.03,1.8918885456821304,1.8918885456821304,2
0a61b571f594b6919601bcf3380da7f7,1.0,154.0,383.0,170.29,1.9059776151894043,1.9059776151894043,2
0aa1ab39ff2b837c05d7c9ff85b6d983,1.0,65.0,236.0,109.85,1.5390696742604302,1.5390696742604302,2
0aadc1d26d1c8b88a52c39a533ccea93,1.0,231.0,505.0,757.6800000000001,7.328164135506071,7.328164135506071,2
0abee71cd257861a0944e2a81cea4a50,1.0,259.0,535.0,400.44000000000005,4.020152169008018,4.020152169008018,2
0ac4a9460c1baf3051ffec5c9021a499,1.0,22.0,113.0,133.29999999999998,3.99957142478637,3.99957142478637,2
0ad1d79346c3b98b517348ecbbadfbc6,1.0,51.0,120.0,38.41,1.7282586222778584,1.7282586222778584,2
0ad7cb4f48f2a2cf5080e3c19c7cf98c,1.0,201.0,297.0,68.37,2.2378491530855076,2.2378491530855076,2
0b18593e033697810a62a987e77f4b8c,2.0,284.0,453.0,68.235,10.780458638769883,10.780458638769883,2
0b3dc7efaafb0cf78a4796d42fa8d74c,1.0,297.0,694.0,356.13,2.111601598827712,2.111601598827712,2
0b402d6dd50694a118c642448e2cb086,1.0,216.0,492.0,57.59,0.5689249895957971,0.5689249895957971,2
0b51518c7deffd54b13b007c9f91c3f0,1.0,60.0,117.0,173.3,8.497910586311251,8.497910586311251,2
0bc9c245cd69735af23eefdd89d74e7e,1.0,69.0,419.0,124.16,0.4323156336556245,0.4323156336556245,2
0bf1278577a2acf8532a031d98cd517c,1.0,67.0,325.0,76.66,0.5196733875664465,0.5196733875664465,2
0c10e674d1504f959a7f2e504148c296,1.0,180.0,306.0,35.59,0.9607625733149407,0.9607625733149407,2
0c1201c04330536234aaa49b396745d4,1.0,193.0,217.0,169.74,10.153112825145666,10.153112825145666,2
